lon lat z
70.75 24.25 -115.0841293334961
70.75 24.75 286.6400146484375
70.75 25.25 314.4222106933594
70.75 25.75 -19.75386428833008
70.75 26.25 407.6814880371094
70.75 26.75 -159.0829162597656
70.75 27.25 21.29925918579102
70.75 27.75 2.268148183822632
70.75 28.25 -176.7859954833984
70.75 28.75 239.2222290039062
70.75 29.25 114.4755554199219
70.75 29.75 -18.51106071472168
70.75 30.25 -144.3079681396484
70.75 30.75 -385.8158264160156
70.75 31.25 -280.3426513671875
70.75 31.75 -256.7394104003906
70.75 32.25 -258.7213134765625
70.75 32.75 -243.0587005615234
70.75 33.25 -229.251708984375
70.75 33.75 -201.0336303710938
70.75 34.25 -195.7251586914062
70.75 34.75 -185.8717193603516
70.75 35.25 -155.975830078125
70.75 35.75 -162.5449981689453
70.75 36.25 -160.2366027832031
70.75 36.75 -164.0061798095703
70.75 37.25 -170.1792449951172
70.75 37.75 -198.6553802490234
70.75 38.25 -217.871826171875
70.75 38.75 -228.7201538085938
70.75 39.25 -245.7880096435547
71.25 16.25 -1285.739013671875
71.25 16.75 -598.467529296875
71.25 17.25 -298.101806640625
71.25 17.75 -253.0758514404297
71.25 18.25 -238.8173370361328
71.25 18.75 -234.9232330322266
71.25 19.25 -219.9033966064453
71.25 19.75 -208.4113616943359
71.25 20.25 -223.4500122070312
71.25 20.75 -193.2556762695312
